ElapsedTime,Speed
1,0
2,0.1981
3,0.3967
4,0.5958
5,0.7954001
6,0.9955001
7,1.1961
8,1.3972
9,1.5988
10,1.8009
11,2.0035
12,2.2066
13,0.07666878
14,0.0845683
15,0.09296824
16,0.1018688
17,0.1112688
18,0.1211688
19,0.131569
20,0.1424691
21,0.1538691
22,0.1657692
23,0.1781693
24,0.1910693
25,0.2044694
26,0.2183694
27,0.2327696
28,0.2476698
29,0.2630698
30,0.2789699
31,0.29537
32,0.3122702
33,0.3296702
34,0.3475702
35,0.3659701
36,0.3848703
37,0.4042704
38,0.4241705
39,0.4445706
40,0.4654704
41,0.4868708
42,0.5087711
43,0.5311711
44,0.554071
45,0.5774711
46,0.6013712
47,0.6257714
48,0.6506714
49,0.6760715
50,0.7019715
51,0.7283715
52,0.7552716
53,0.7826717
54,0.8105718
55,0.8389717
56,0.8678718
57,0.8972717
58,0.9271716
59,0.9575719
60,0.9884719
61,1.019872
62,1.051772
63,1.084172
64,1.117072
65,1.150472
66,1.184373
67,1.218773
68,1.253673
69,1.289073
70,1.324973
71,1.361373
72,1.398273
73,1.435673
74,1.473573
75,1.511973
76,1.550873
77,1.590273
78,1.630173
79,1.670573
80,1.711473
81,1.752874
82,1.794774
83,1.837174
84,1.880074
85,1.923474
86,1.967374
87,2.011774
88,2.056674
89,2.102073
90,2.147973
91,2.194374
92,2.241274
93,2.288674
94,2.336574
95,2.384974
96,2.433874
97,2.483274
98,2.533175
99,2.583575
100,2.634475
101,2.685874
102,2.737774
103,2.790174
104,2.843075
105,2.896475
106,2.950375
107,3.004775
108,3.059675
109,3.115075
110,3.170975
111,3.227375
112,3.284275
113,3.341675
114,3.399575
115,3.457975
116,3.516875
117,3.576275
118,3.636175
119,3.696576
120,3.757476
121,3.818876
122,3.880776
123,3.943176
124,4.006076
125,4.069477
126,4.133377
127,4.197777
128,4.262677
129,4.328077
130,4.393977
131,4.460377
132,4.527277
133,4.594677
134,4.662577
135,4.730978
136,4.799878
137,4.869278
138,4.939178
139,5.009579
140,5.080479
141,5.151879
142,5.223779
143,5.296179
144,5.36908
145,5.442481
146,5.516381
147,5.590781
148,5.665681
149,5.741081
150,5.816981
151,5.893381
152,5.970281
153,6.047681
154,6.125581
155,6.203981
156,6.282882
157,6.362282
158,6.442182
159,6.522582
160,6.603482
161,6.684882
162,6.766783
163,6.849183
164,6.932083
165,7.015483
166,7.099383
167,7.183784
168,7.268684
169,7.354084
170,7.439985
171,7.526385
172,7.613286
173,7.700686
174,7.788587
175,7.876987
176,7.965887
177,8.055287
178,8.145187
179,8.235588
180,8.326488
181,8.417889
182,8.509789
183,8.60219
184,8.695089
185,8.78849
186,8.88239
187,8.976791
188,9.071692
189,9.167091
190,9.262992
191,9.359392
192,9.456292
193,9.553692
194,9.651592
195,9.749993
196,9.848893
197,9.948293
198,10.04819
199,10.14859
200,10.24949
201,10.3509
202,10.4528
203,10.5552
204,10.6581
205,10.7615
206,10.8654
207,10.9698
208,11.0747
209,11.1801
210,11.286
211,11.3924
212,11.4993
213,11.6067
214,11.7146
215,11.823
216,11.9319
217,12.0413
218,12.1512
219,12.2616
220,12.3725
221,12.4839
222,12.59581
223,12.70821
224,12.82111
225,12.93451
226,13.04841
227,13.16281
228,13.27771
229,13.39311
230,13.50901
231,13.62541
232,13.74231
233,13.85971
234,13.97761
235,14.09601
236,14.21491
237,14.33431
238,14.45421
239,14.57461
240,14.69551
241,14.81691
242,14.93882
243,15.06121
244,15.18411
245,15.30752
246,15.43141
247,15.55582
248,15.68072
249,15.80612
250,15.93202
251,16.05842
252,16.18532
253,16.31272
254,16.44062
255,16.56902
256,16.69792
257,16.82732
258,16.95722
259,17.08762
260,17.21852
261,17.34992
262,17.48182
263,17.61422
264,17.74712
265,17.88053
266,18.01443
267,18.14883
268,18.28373
269,18.41913
270,18.55503
271,18.69143
272,18.82833
273,18.96573
274,19.10363
275,19.24203
276,19.38093
277,19.52033
278,19.66023
279,19.80063
280,19.94153
281,20.08294
282,20.22484
283,20.36724
284,20.51014
285,20.65354
286,20.79744
287,20.94184
288,21.08674
289,21.23214
290,21.37804
291,21.52444
292,21.67134
293,21.81874
294,21.96664
295,22.11504
296,22.26394
297,22.41335
298,22.56325
299,22.71365
300,22.86455
301,23.01595
302,23.16785
303,23.32025
304,23.47315
305,23.62655
306,23.78045
307,23.93485
308,24.08975
309,24.24515
310,24.40105
311,24.55745
312,24.71435
313,24.87175
314,25.02966
315,25.18806
316,25.34696
317,25.50379
318,25.65846
319,25.81101
320,25.9615
321,26.10998
322,26.2565
323,26.40111
324,26.54384
325,26.68476
326,26.8239
327,26.9613
328,27.097
329,27.23103
330,27.36344
331,27.49426
332,27.62352
333,27.75126
334,27.87751
335,28.0023
336,28.12566
337,28.24762
338,28.3682
339,28.48744
340,28.60536
341,28.72198
342,28.83733
343,28.95144
344,29.06433
345,29.17601
346,29.28651
347,29.39586
348,29.50407
349,29.61116
350,29.71716
351,29.82208
352,29.92594
353,30.02876
354,30.13055
355,30.23134
356,30.33113
357,30.42996
358,30.52782
359,30.62474
360,30.72074
361,30.81582
362,30.91001
363,31.00331
364,31.09573
365,31.1873
366,31.27802
367,31.36792
368,31.45699
369,31.54525
370,31.63272
371,31.71941
372,31.80532
373,31.60912
374,31.69601
375,31.78213
376,31.86748
377,31.95208
378,31.75588
379,31.84147
380,31.9263
381,32.01038
382,32.09373
383,32.17635
384,31.98015
385,32.06376
386,32.14664
387,32.22881
388,32.31026
389,32.39101
390,32.19481
391,32.27655
392,32.35759
393,32.43794
394,32.5176
395,32.59659
396,32.40039
397,32.48037
398,32.55967
399,32.6383
400,32.71627
401,32.79359
402,32.59739
403,32.6757
404,32.75335
405,32.83036
406,32.90672
407,32.98246
408,33.05756
409,32.86136
410,32.93747
411,33.01295
412,33.08781
413,33.16205
414,33.23569
415,33.30873
416,33.11253
417,33.18657
418,33.26001
419,33.33286
420,33.40511
421,33.47678
422,33.54789
423,33.61842
424,33.42222
425,33.49376
426,33.56473
427,33.63513
428,33.70497
429,33.77427
430,33.84301
431,33.91122
432,33.9789
433,33.7827
434,33.85138
435,33.91952
436,33.98713
437,34.05422
438,34.12079
439,34.18684
440,34.2524
441,34.31744
442,34.12124
443,34.18729
444,34.25284
445,34.31789
446,34.38243
447,34.4465
448,34.51007
449,34.57317
450,34.6358
451,34.69795
452,34.75964
453,34.56344
454,34.62614
455,34.68837
456,34.75014
457,34.81145
458,34.8723
459,34.9327
460,34.99266
461,35.05218
462,35.11127
463,35.16993
464,35.22816
465,35.28597
466,35.34337
467,35.14717
468,35.20557
469,35.26354
470,35.3211
471,35.37824
472,35.43498
473,35.49131
474,35.54724
475,35.60277
476,35.65791
477,35.71266
478,35.76703
479,35.82101
480,35.87462
481,35.92786
482,35.98072
483,36.03322
484,35.83702
485,35.89052
486,35.94365
487,35.9964
488,36.04879
489,35.8526
490,35.90599
491,35.959
492,36.01165
493,35.81545
494,35.8691
495,35.92237
496,35.97527
497,36.02781
498,35.83161
499,35.88514
500,35.9383
501,35.9911
502,36.04353
503,35.84733
504,35.90075
505,35.95381
506,36.0065
507,35.8103
508,35.86398
509,35.91729
510,35.97023
511,36.0228
512,35.8266
513,35.88017
514,35.93337
515,35.98619
516,36.03866
517,35.84246
518,35.89592
519,35.94901
520,36.00172
521,35.80552
522,35.85924
523,35.91258
524,35.96556
525,36.01816
526,35.82196
527,35.87556
528,35.92879
529,35.98166
530,36.03415
531,35.83795
532,35.89144
533,35.94456
534,35.99731
535,36.04969
536,35.85349
537,35.90687
538,35.95988
539,36.01253
540,35.81633
541,35.86996
542,35.92324
543,35.97613
544,36.02866
545,35.83246
546,35.88599
547,35.93915
548,35.99193
549,36.04436
550,35.84816
551,35.90158
552,35.95462
553,36.0073
554,35.8111
555,35.86478
556,35.91809
557,35.97102
558,36.02359
559,35.82739
560,35.88095
561,35.93415
562,35.98697
563,36.03942
564,35.84322
565,35.89668
566,35.94976
567,36.00247
568,35.80627
569,35.85999
570,35.91333
571,35.96629
572,36.01889
573,35.82269
574,35.87629
575,35.92951
576,35.98236
577,36.03485
578,35.83866
579,35.89214
580,35.94525
581,35.998
582,36.05038
583,35.85418
584,35.90755
585,35.96056
586,36.0132
587,35.817
588,35.87064
589,35.9239
590,35.97679
591,36.02932
592,35.83312
593,35.88664
594,35.9398
595,35.99258
596,36.04499
597,35.84879
598,35.90221
599,35.95526
600,36.00793
601,35.81173
602,35.8654
603,35.9187
604,35.97163
605,36.02419
606,35.82799
607,35.88155
608,35.93474
609,35.98756
610,36.04001
611,35.84381
612,35.89726
613,35.95034
614,36.00305
615,35.80685
616,35.86056
617,35.91389
618,35.96686
619,36.01945
620,35.82325
621,35.87684
622,35.93006
623,35.98291
624,36.0354
625,35.8392
626,35.89268
627,35.94579
628,35.99854
629,36.05091
630,35.85471
631,35.90808
632,35.96109
633,36.01373
634,35.81752
635,35.87115
636,35.92442
637,35.97731
638,36.02983
639,35.83363
640,35.88715
641,35.9403
642,35.99308
643,36.04549
644,35.84929
645,35.9027
646,35.95574
647,36.00841
648,35.81221
649,35.86588
650,35.91918
651,35.97211
652,36.02467
653,35.82847
654,35.88202
655,35.93521
656,35.98802
657,36.04047
658,35.84427
659,35.89772
660,35.95079
661,36.0035
662,35.8073
663,35.861
664,35.91433
665,35.96729
666,36.01989
667,35.82368
668,35.87728
669,35.93049
670,35.98334
671,36.03582
672,35.83962
673,35.8931
674,35.94621
675,35.99895
676,36.05132
677,35.85512
678,35.90849
679,35.96148
680,36.01412
681,35.81792
682,35.87155
683,35.92481
684,35.9777
685,36.03022
686,35.83402
687,35.88754
688,35.94069
689,35.99346
690,36.04587
691,35.84967
692,35.90308
693,35.95612
694,36.00879
695,35.81259
696,35.86625
697,35.91955
698,35.97247
699,36.02503
700,35.82883
701,35.88239
702,35.93557
703,35.98838
704,36.04082
705,35.84462
706,35.89806
707,35.95114
708,36.00384
709,35.80764
710,35.86134
711,35.91467
712,35.96763
713,36.02022
714,35.82402
715,35.87761
716,35.93082
717,35.98366
718,36.03614
719,35.83994
720,35.89342
721,35.94653
722,35.99926
723,36.05164
724,35.85543
725,35.90881
726,35.9618
727,36.01443
728,35.81823
729,35.87186
730,35.92511
731,35.978
732,36.03051
733,35.83431
734,35.88783
735,35.94097
736,35.99375
737,36.04616
738,35.84996
739,35.90336
740,35.9564
741,36.00907
742,35.81287
743,35.86653
744,35.91982
745,35.97274
746,36.0253
747,35.82909
748,35.88264
749,35.93583
750,35.98864
751,36.04108
752,35.84488
753,35.89833
754,35.9514
755,36.0041
756,35.8079
757,35.8616
758,35.91493
759,35.96788
760,36.02047
761,35.82427
762,35.87786
763,35.93107
764,35.98392
765,36.0364
766,35.84019
767,35.89367
768,35.94677
769,35.99951
770,36.05188
771,35.85568
772,35.90905
773,35.96204
774,36.01467
775,35.81847
776,35.8721
777,35.92535
778,35.97824
779,36.03075
780,35.83455
781,35.88807
782,35.94121
783,35.99398
784,36.04639
785,35.85019
786,35.9036
787,35.95663
788,36.0093
789,35.8131
790,35.86676
791,35.92005
792,35.97297
793,36.02552
794,35.82933
795,35.88288
796,35.93605
797,35.98886
798,36.04131
799,35.84511
800,35.89855
801,35.95162
802,36.00432
803,35.80812
804,35.86182
805,35.91515
806,35.9681
807,36.02069
808,35.82449
809,35.87807
810,35.93129
811,35.98413
812,36.03661
813,35.84041
814,35.89388
815,35.94698
816,35.99972
817,36.05209
818,35.85589
819,35.90925
820,35.96225
821,36.01487
822,35.81868
823,35.8723
824,35.92555
825,35.97844
826,36.03096
827,35.83475
828,35.88827
829,35.94141
830,35.99418
831,36.04659
832,35.85039
833,35.90379
834,35.95683
835,36.00949
836,35.81329
837,35.86695
838,35.92025
839,35.97316
840,36.02572
841,35.82952
842,35.88307
843,35.93624
844,35.98905
845,36.04149
846,35.84529
847,35.89873
848,35.9518
849,36.0045
850,35.8083
851,35.86199
852,35.91532
853,35.96827
854,36.02085
855,35.82466
856,35.87824
857,35.93145
858,35.98429
859,36.03677
860,35.84057
861,35.89404
862,35.94714
863,35.99987
864,36.05224
865,35.85604
866,35.9094
867,35.9624
868,36.01503
869,35.81882
870,35.87245
871,35.9257
872,35.97858
873,36.03109
874,35.8349
875,35.8884
876,35.94155
877,35.99432
878,36.04672
879,35.85052
880,35.90393
881,35.95696
882,36.00962
883,35.81342
884,35.86708
885,35.92037
886,35.97329
887,36.02584
888,35.82964
889,35.88318
890,35.93636
891,35.98917
892,36.04161
893,35.84541
894,35.89885
895,35.95191
896,36.00461
897,35.80841
898,35.86211
899,35.91543
900,35.96838
901,36.02097
902,35.82476
903,35.87835
904,35.93156
905,35.98439
906,36.03687
907,35.84067
908,35.89414
909,35.94724
910,35.99997
911,36.05234
912,35.85614
913,35.9095
914,35.96249
915,36.01512
916,35.81891
917,35.87254
918,35.92579
919,35.97866
920,36.03118
921,35.83498
922,35.88849
923,35.94163
924,35.9944
925,36.04681
926,35.85061
927,35.90401
928,35.95704
929,36.0097
930,35.8135
931,35.86716
932,35.92045
933,35.97337
934,36.02592
935,35.82972
936,35.88326
937,35.93644
938,35.98925
939,36.04169
940,35.84549
941,35.89893
942,35.952
943,36.00469
944,35.80849
945,35.86219
946,35.91551
947,35.96846
948,36.02105
949,35.82485
950,35.87844
951,35.93164
952,35.98449
953,36.03696
954,35.84076
955,35.89423
956,35.94733
957,36.00006
958,35.80386
959,35.85759
960,35.91094
961,35.96393
962,36.01654
963,35.82034
964,35.87395
965,35.9272
966,35.98007
967,36.03257
968,35.83637
969,35.88987
970,35.943
971,35.99577
972,36.04816
973,35.85196
974,35.90536
975,35.95838
976,36.01103
977,35.81483
978,35.86848
979,35.92176
980,35.97467
981,36.02721
982,35.83101
983,35.88455
984,35.93771
985,35.99051
986,36.04294
987,35.84674
988,35.90017
989,35.95323
990,36.00592
991,35.80972
992,35.86341
993,35.91672
994,35.96967
995,36.02224
996,35.82604
997,35.87962
998,35.93282
999,35.98565
1000,36.03812
